bin,n,predicted,observed,ratio_obs_pred
0,3269,0.007231598400646482,0.007953502600183543,1.0998263674974713
1,3269,0.00998573285331071,0.010400734169470786,1.0415594250573694
2,3268,0.011764529043829398,0.011015911872705019,0.9363665839630839
3,3269,0.01338273143633725,0.014071581523401652,1.0514730561799972
4,3269,0.014985937331209434,0.014071581523401652,0.9389857445951304
5,3268,0.016598723795787626,0.016217870257037945,0.977055251750961
6,3269,0.01838600338283009,0.017130620985010708,0.9317207567256444
7,3268,0.020627055150039167,0.019583843329253364,0.9494250724013883
8,3269,0.024234979380571477,0.028143163046803303,1.16126209991187
9,3269,0.04745543969864255,0.04772101560110126,1.0055963216049668
