age_band,load_band,exposure_matches,observed_events,modelled_freq,observed_freq,pure_premium,office_premium,ab_ratio,credibility
<22,light,1589,23,0.015232322577773533,0.0144745122718691,939.3265589627013,1080.2255428071064,0.950249851784901,0.1457975706523709
<22,moderate,1267,31,0.016624013715723914,0.0244672454617206,1025.1475124696415,1178.9196393400875,1.471801327893403,0.1692650198655718
<22,heavy,1215,17,0.015971878841317688,0.013991769547325103,984.932528547924,1132.6724078301124,0.8760252745675584,0.12534610126231924
22-25,light,3585,51,0.01610068684170904,0.014225941422594143,992.8756885720574,1141.807041857866,0.883561152542987,0.21710581591701028
22-25,moderate,3655,63,0.01826483924836105,0.017236662106703146,1126.3317536489312,1295.2815166962707,0.9437072986147325,0.24129962353457943
22-25,heavy,3401,70,0.01811021569420754,0.020582181711261395,1116.7966344761317,1284.3161296475514,1.136495669559833,0.2543521363034802
26-29,light,3682,52,0.016898253883328315,0.014122759369907659,1042.0589894719128,1198.3678378926995,0.8357525852917302,0.21922397159693935
26-29,moderate,4181,75,0.01811244261636085,0.01793829227457546,1116.9339613422524,1284.47405554359,0.9903850438356624,0.2632794738122757
26-29,heavy,3841,80,0.01656706597390827,0.020827909398594115,1021.6357350576766,1174.881095316328,1.2571875690841283,0.2719138713261855
30-33,light,1952,44,0.01854774020837816,0.022540983606557378,1143.7773128499864,1315.3439097774842,1.215295413528352,0.20165672411495814
30-33,moderate,1426,36,0.021728686732458313,0.025245441795231416,1339.9356818349293,1540.9260341101685,1.1618484865686693,0.18240537009314448
30-33,heavy,859,13,0.019258109067403325,0.015133876600698487,1187.5833924898716,1365.7209013633521,0.785844370687172,0.10961198579846967
34+,light,971,24,0.02960862729865927,0.024716786817713696,1825.8653500839882,2099.745152596586,0.834783273415479,0.14893336102390894
34+,moderate,740,25,0.037864019287404876,0.033783783783783786,2334.947856056634,2685.190034465129,0.8922397679799845,0.1520044750776204
34+,heavy,323,5,0.03328921513159409,0.015479876160990712,2052.834933114969,2360.760173082214,0.4650117492947165,0.06797846783154637
