tour,age_band,exposure_matches,observed_events,modelled_freq,observed_freq,pure_premium,office_premium,ab_ratio,credibility
ATP,<22,1880,40,0.01592175038667996,0.02127659574468085,981.8412738452643,1129.1174649220538,1.336322654730269,0.19227214231343207
ATP,22-25,5751,101,0.016444445559072925,0.017562163102069206,1014.0741428094971,1166.1852642309216,1.0679693054400123,0.30552521367677105
ATP,26-29,6203,105,0.01548731489122044,0.016927293245203933,955.0510849585937,1098.3087477023828,1.092977921873326,0.31151647446518177
ATP,30-33,1950,50,0.01833103037071508,0.02564102564102564,1130.4135395274297,1299.9755704565441,1.39877710758631,0.2149667901961739
ATP,34+,1278,28,0.021350869866815766,0.02190923317683881,1316.6369751203056,1514.1325213883513,1.0261517827379423,0.16086641568971963
WTA,<22,2191,31,0.01585564948386445,0.014148790506617983,977.7650515049745,1124.4298092307206,0.8923501065671603,0.1692650198655718
WTA,22-25,4890,83,0.018711612872404495,0.016973415132924337,1153.8827937982771,1326.9652128680186,0.9071059372950359,0.27696533478547114
WTA,26-29,5501,102,0.019180836123061415,0.01854208325758953,1182.8182275887873,1360.2409617271053,0.9666983826266102,0.3070339893399125
WTA,30-33,2287,43,0.02098272961663523,0.01880192391779624,1293.9349930258393,1488.025241979715,0.8960666348619374,0.1993520001480583
WTA,34+,756,26,0.05322137060501601,0.03439153439153439,3281.984520642654,3774.2821987390516,0.6461978337005295,0.1550147569148429
