scenario,office_premium,change_vs_base
Base case,1309.5095107973261,0.0
Event frequency -20%,1047.607608637861,-0.19999999999999996
Event frequency -10%,1178.5585597175939,-0.09999999999999976
Event frequency +10%,1440.4604618770588,0.10000000000000009
Event frequency +20%,1571.4114129567913,0.19999999999999996
"Mean claim cost = £1,000",654.7547553986631,-0.5
"Mean claim cost = £1,500",982.1321330979946,-0.25
"Mean claim cost = £3,000",1964.2642661959892,0.5
"Mean claim cost = £5,000",3273.773776993315,1.5
Matches per season = 20,849.4115745712386,-0.3513513513513513
Matches per season = 30,1274.1173618568578,-0.027027027027027084
Matches per season = 60,2548.2347237137155,0.9459459459459458
Matches per season = 80,3397.6462982849544,1.5945945945945947
Expense loading = 10%,1252.5743146757034,-0.04347826086956519
Expense loading = 20%,1366.4447069189491,0.04347826086956541
Expense loading = 30%,1480.3150991621949,0.1304347826086958
Major:minor cost ratio = 2 (with 0.1 SD risk load),1465.8471842103168,0.11938643600824306
Major:minor cost ratio = 5 (with 0.1 SD risk load),1507.968955986804,0.15155250385974006
Major:minor cost ratio = 10 (with 0.1 SD risk load),1571.8387427876369,0.20032632816128637
