feature,vif
matches_28d,20.345216457726053
minutes_28d,18.784019932929642
log_rank,10.835783654862388
hand_R,8.499166117632495
log_rank_points,8.160974054967275
level_tour,6.938068145034607
round_ord,6.539947396687902
matches_90d,5.975490692728734
career_matches,4.623739146183798
tour_WTA,4.579617705204213
level_masters,4.468693451582035
matches_365d,4.34125924667558
match_in_event,4.306189967541874
level_grand_slam,3.540622803369015
surface_Hard,3.283297048669794
acwr,2.9701606050654457
years_on_tour,2.7271569034114336
level_team,2.550530002525996
prior_events_career,2.386485231391395
height,2.0955575221356453
age,1.8799339910536754
prior_events_365d,1.579494674146942
days_since_last,1.5703264627969906
surface_Grass,1.4368446759229487
age_c_sq,1.3106861532896348
prev_match_minutes,1.304614854461089
surface_switch,1.2515927185283757
is_qualifier,1.1881927019402754
hand_U,1.1307335104668836
is_wildcard,1.1202955574291105
level_olympics,1.051168810672179
surface_Unknown,1.0199397500748864
